Ref_Date,GEO,ITEMS,Vector,Coordinate,Value
2002/06,Canada,All-items,v41690914,1.1,99.6
2002/07,Canada,All-items,v41690914,1.1,100.3
2002/08,Canada,All-items,v41690914,1.1,100.7
2002/09,Canada,All-items,v41690914,1.1,100.8
2002/10,Canada,All-items,v41690914,1.1,101.3
2002/11,Canada,All-items,v41690914,1.1,101.6
2002/12,Canada,All-items,v41690914,1.1,101.5
2003/01,Canada,All-items,v41690914,1.1,102.4
2003/02,Canada,All-items,v41690914,1.1,102.9
2003/03,Canada,All-items,v41690914,1.1,103.0
2003/04,Canada,All-items,v41690914,1.1,102.3
2003/05,Canada,All-items,v41690914,1.1,102.1
2003/06,Canada,All-items,v41690914,1.1,102.3
2003/07,Canada,All-items,v41690914,1.1,102.5
2003/08,Canada,All-items,v41690914,1.1,102.8
2003/09,Canada,All-items,v41690914,1.1,103.0
2003/10,Canada,All-items,v41690914,1.1,102.9
2003/11,Canada,All-items,v41690914,1.1,103.1
2003/12,Canada,All-items,v41690914,1.1,103.6
2004/01,Canada,All-items,v41690914,1.1,103.7
2004/02,Canada,All-items,v41690914,1.1,103.7
2004/03,Canada,All-items,v41690914,1.1,103.7
2004/04,Canada,All-items,v41690914,1.1,104.0
2004/05,Canada,All-items,v41690914,1.1,104.7
2004/06,Canada,All-items,v41690914,1.1,104.8
2004/07,Canada,All-items,v41690914,1.1,104.8
2004/08,Canada,All-items,v41690914,1.1,104.7
2004/09,Canada,All-items,v41690914,1.1,104.8
2004/10,Canada,All-items,v41690914,1.1,105.2
2004/11,Canada,All-items,v41690914,1.1,105.7
2004/12,Canada,All-items,v41690914,1.1,105.8
2005/01,Canada,All-items,v41690914,1.1,105.8
2005/02,Canada,All-items,v41690914,1.1,105.9
2005/03,Canada,All-items,v41690914,1.1,106.2
2005/04,Canada,All-items,v41690914,1.1,106.4
2005/05,Canada,All-items,v41690914,1.1,106.3
2005/06,Canada,All-items,v41690914,1.1,106.6
2005/07,Canada,All-items,v41690914,1.1,106.8
2005/08,Canada,All-items,v41690914,1.1,107.3
2005/09,Canada,All-items,v41690914,1.1,108.3
2005/10,Canada,All-items,v41690914,1.1,108.1
2005/11,Canada,All-items,v41690914,1.1,107.9
2005/12,Canada,All-items,v41690914,1.1,108.0
2006/01,Canada,All-items,v41690914,1.1,108.9
2006/02,Canada,All-items,v41690914,1.1,108.5
2006/03,Canada,All-items,v41690914,1.1,108.6
2006/04,Canada,All-items,v41690914,1.1,109.1
2006/05,Canada,All-items,v41690914,1.1,109.2
2006/06,Canada,All-items,v41690914,1.1,109.1
2006/07,Canada,All-items,v41690914,1.1,109.2
2006/08,Canada,All-items,v41690914,1.1,109.4
2006/09,Canada,All-items,v41690914,1.1,109.0
2006/10,Canada,All-items,v41690914,1.1,109.1
2006/11,Canada,All-items,v41690914,1.1,109.5
2006/12,Canada,All-items,v41690914,1.1,109.9
2007/01,Canada,All-items,v41690914,1.1,110.2
2007/02,Canada,All-items,v41690914,1.1,110.6
2007/03,Canada,All-items,v41690914,1.1,111.2
2007/04,Canada,All-items,v41690914,1.1,111.5
2007/05,Canada,All-items,v41690914,1.1,111.5
2007/06,Canada,All-items,v41690914,1.1,111.3
2007/07,Canada,All-items,v41690914,1.1,111.4
2007/08,Canada,All-items,v41690914,1.1,111.3
2007/09,Canada,All-items,v41690914,1.1,111.7
2007/10,Canada,All-items,v41690914,1.1,111.9
2007/11,Canada,All-items,v41690914,1.1,112.2
2007/12,Canada,All-items,v41690914,1.1,112.6
2008/01,Canada,All-items,v41690914,1.1,112.4
2008/02,Canada,All-items,v41690914,1.1,112.6
2008/03,Canada,All-items,v41690914,1.1,112.8
2008/04,Canada,All-items,v41690914,1.1,113.3
2008/05,Canada,All-items,v41690914,1.1,114.1
2008/06,Canada,All-items,v41690914,1.1,114.9
2008/07,Canada,All-items,v41690914,1.1,115.4
2008/08,Canada,All-items,v41690914,1.1,115.4
2008/09,Canada,All-items,v41690914,1.1,115.5
2008/10,Canada,All-items,v41690914,1.1,114.7
2008/11,Canada,All-items,v41690914,1.1,114.3
2008/12,Canada,All-items,v41690914,1.1,113.9
2009/01,Canada,All-items,v41690914,1.1,113.7
2009/02,Canada,All-items,v41690914,1.1,114.1
2009/03,Canada,All-items,v41690914,1.1,114.0
2009/04,Canada,All-items,v41690914,1.1,113.7
2009/05,Canada,All-items,v41690914,1.1,114.2
2009/06,Canada,All-items,v41690914,1.1,114.7
2009/07,Canada,All-items,v41690914,1.1,114.3
2009/08,Canada,All-items,v41690914,1.1,114.5
2009/09,Canada,All-items,v41690914,1.1,114.6
2009/10,Canada,All-items,v41690914,1.1,114.8
2009/11,Canada,All-items,v41690914,1.1,115.4
2009/12,Canada,All-items,v41690914,1.1,115.4
2010/01,Canada,All-items,v41690914,1.1,115.8
2010/02,Canada,All-items,v41690914,1.1,115.9
2010/03,Canada,All-items,v41690914,1.1,115.6
2010/04,Canada,All-items,v41690914,1.1,115.6
2010/05,Canada,All-items,v41690914,1.1,115.7
2010/06,Canada,All-items,v41690914,1.1,116.0
2010/07,Canada,All-items,v41690914,1.1,116.6
2010/08,Canada,All-items,v41690914,1.1,116.5
2010/09,Canada,All-items,v41690914,1.1,116.7
2010/10,Canada,All-items,v41690914,1.1,117.4
2010/11,Canada,All-items,v41690914,1.1,117.7
2010/12,Canada,All-items,v41690914,1.1,118.2
2011/01,Canada,All-items,v41690914,1.1,118.4
2011/02,Canada,All-items,v41690914,1.1,118.3
2011/03,Canada,All-items,v41690914,1.1,119.1
2011/04,Canada,All-items,v41690914,1.1,119.6
2011/05,Canada,All-items,v41690914,1.1,120.0
2011/06,Canada,All-items,v41690914,1.1,119.6
2011/07,Canada,All-items,v41690914,1.1,119.8
2011/08,Canada,All-items,v41690914,1.1,120.1
2011/09,Canada,All-items,v41690914,1.1,120.5
2011/10,Canada,All-items,v41690914,1.1,120.9
2011/11,Canada,All-items,v41690914,1.1,121.0
2011/12,Canada,All-items,v41690914,1.1,120.8
2012/01,Canada,All-items,v41690914,1.1,121.5
2012/02,Canada,All-items,v41690914,1.1,121.4
2012/03,Canada,All-items,v41690914,1.1,121.5
2012/04,Canada,All-items,v41690914,1.1,121.9
2012/05,Canada,All-items,v41690914,1.1,121.5
2012/06,Canada,All-items,v41690914,1.1,121.2
2012/07,Canada,All-items,v41690914,1.1,121.2
2012/08,Canada,All-items,v41690914,1.1,121.7
2012/09,Canada,All-items,v41690914,1.1,121.9
2012/10,Canada,All-items,v41690914,1.1,122.2
2012/11,Canada,All-items,v41690914,1.1,122.1
2012/12,Canada,All-items,v41690914,1.1,122.0
2013/01,Canada,All-items,v41690914,1.1,122.1
2013/02,Canada,All-items,v41690914,1.1,122.9
2013/03,Canada,All-items,v41690914,1.1,122.8
2013/04,Canada,All-items,v41690914,1.1,122.3
2013/05,Canada,All-items,v41690914,1.1,122.3
2013/06,Canada,All-items,v41690914,1.1,122.6
2013/07,Canada,All-items,v41690914,1.1,122.8
2013/08,Canada,All-items,v41690914,1.1,122.9
2013/09,Canada,All-items,v41690914,1.1,123.1
2013/10,Canada,All-items,v41690914,1.1,123.0
2013/11,Canada,All-items,v41690914,1.1,123.2
2013/12,Canada,All-items,v41690914,1.1,123.6
2014/01,Canada,All-items,v41690914,1.1,123.9
2014/02,Canada,All-items,v41690914,1.1,124.3
2014/03,Canada,All-items,v41690914,1.1,124.5
2014/04,Canada,All-items,v41690914,1.1,125.0
2014/05,Canada,All-items,v41690914,1.1,125.1
2014/06,Canada,All-items,v41690914,1.1,125.4
2014/07,Canada,All-items,v41690914,1.1,125.4
2014/08,Canada,All-items,v41690914,1.1,125.5
2014/09,Canada,All-items,v41690914,1.1,125.7
2014/10,Canada,All-items,v41690914,1.1,125.9
2014/11,Canada,All-items,v41690914,1.1,125.7
2014/12,Canada,All-items,v41690914,1.1,125.5
2015/01,Canada,All-items,v41690914,1.1,125.1
2015/02,Canada,All-items,v41690914,1.1,125.6
2015/03,Canada,All-items,v41690914,1.1,126.0
2015/04,Canada,All-items,v41690914,1.1,125.9
2015/05,Canada,All-items,v41690914,1.1,126.3
2015/06,Canada,All-items,v41690914,1.1,126.8
2015/07,Canada,All-items,v41690914,1.1,127.0
2015/08,Canada,All-items,v41690914,1.1,127.1
2015/09,Canada,All-items,v41690914,1.1,127.0
2015/10,Canada,All-items,v41690914,1.1,127.2
2015/11,Canada,All-items,v41690914,1.1,127.4
2015/12,Canada,All-items,v41690914,1.1,127.5
2016/01,Canada,All-items,v41690914,1.1,127.6
2016/02,Canada,All-items,v41690914,1.1,127.3
2016/03,Canada,All-items,v41690914,1.1,127.7
2016/04,Canada,All-items,v41690914,1.1,127.9
2016/05,Canada,All-items,v41690914,1.1,128.2
2016/06,Canada,All-items,v41690914,1.1,128.6
2016/07,Canada,All-items,v41690914,1.1,128.5
2016/08,Canada,All-items,v41690914,1.1,128.5
2016/09,Canada,All-items,v41690914,1.1,128.7
2016/10,Canada,All-items,v41690914,1.1,129.0
2016/11,Canada,All-items,v41690914,1.1,128.9
2016/12,Canada,All-items,v41690914,1.1,129.4
2017/01,Canada,All-items,v41690914,1.1,130.3
2017/02,Canada,All-items,v41690914,1.1,129.9
2017/03,Canada,All-items,v41690914,1.1,129.6
2017/04,Canada,All-items,v41690914,1.1,130.1
2017/05,Canada,All-items,v41690914,1.1,129.9
2017/06,Canada,All-items,v41690914,1.1,129.9
2017/07,Canada,All-items,v41690914,1.1,130.1
2017/08,Canada,All-items,v41690914,1.1,130.4
2017/09,Canada,All-items,v41690914,1.1,130.6
2017/10,Canada,All-items,v41690914,1.1,130.8
1992/01,Canada,Food,v41690915,1.2,82.0
1992/02,Canada,Food,v41690915,1.2,82.2
1992/03,Canada,Food,v41690915,1.2,82.9
1992/04,Canada,Food,v41690915,1.2,83.0
1992/05,Canada,Food,v41690915,1.2,82.8
1992/06,Canada,Food,v41690915,1.2,83.3
1992/07,Canada,Food,v41690915,1.2,83.1
1992/08,Canada,Food,v41690915,1.2,83.5
1992/09,Canada,Food,v41690915,1.2,83.6
1992/10,Canada,Food,v41690915,1.2,83.5
1992/11,Canada,Food,v41690915,1.2,83.6
1992/12,Canada,Food,v41690915,1.2,83.5
1993/01,Canada,Food,v41690915,1.2,83.8
1993/02,Canada,Food,v41690915,1.2,84.2
1993/03,Canada,Food,v41690915,1.2,84.2
1993/04,Canada,Food,v41690915,1.2,83.9
1993/05,Canada,Food,v41690915,1.2,84.7
1993/06,Canada,Food,v41690915,1.2,84.5
1993/07,Canada,Food,v41690915,1.2,84.5
1993/08,Canada,Food,v41690915,1.2,84.6
1993/09,Canada,Food,v41690915,1.2,84.7
1993/10,Canada,Food,v41690915,1.2,84.8
1993/11,Canada,Food,v41690915,1.2,84.9
1993/12,Canada,Food,v41690915,1.2,85.0
1994/01,Canada,Food,v41690915,1.2,84.9
1994/02,Canada,Food,v41690915,1.2,84.5
1994/03,Canada,Food,v41690915,1.2,84.2
1994/04,Canada,Food,v41690915,1.2,84.4
1994/05,Canada,Food,v41690915,1.2,84.4
1994/06,Canada,Food,v41690915,1.2,84.4
1994/07,Canada,Food,v41690915,1.2,84.9
1994/08,Canada,Food,v41690915,1.2,85.2
1994/09,Canada,Food,v41690915,1.2,85.1
1994/10,Canada,Food,v41690915,1.2,85.4
1994/11,Canada,Food,v41690915,1.2,85.4
1994/12,Canada,Food,v41690915,1.2,85.3
1995/01,Canada,Food,v41690915,1.2,86.2
1995/02,Canada,Food,v41690915,1.2,86.6
1995/03,Canada,Food,v41690915,1.2,86.8
1995/04,Canada,Food,v41690915,1.2,87.6
1995/05,Canada,Food,v41690915,1.2,87.0
1995/06,Canada,Food,v41690915,1.2,87.0
1995/07,Canada,Food,v41690915,1.2,87.0
1995/08,Canada,Food,v41690915,1.2,86.7
1995/09,Canada,Food,v41690915,1.2,87.0
1995/10,Canada,Food,v41690915,1.2,87.0
1995/11,Canada,Food,v41690915,1.2,86.7
1995/12,Canada,Food,v41690915,1.2,87.0
1996/01,Canada,Food,v41690915,1.2,86.9
1996/02,Canada,Food,v41690915,1.2,87.0
1996/03,Canada,Food,v41690915,1.2,87.3
1996/04,Canada,Food,v41690915,1.2,88.2
1996/05,Canada,Food,v41690915,1.2,87.7
1996/06,Canada,Food,v41690915,1.2,88.0
1996/07,Canada,Food,v41690915,1.2,87.9
1996/08,Canada,Food,v41690915,1.2,88.1
1996/09,Canada,Food,v41690915,1.2,88.4
1996/10,Canada,Food,v41690915,1.2,88.9
1996/11,Canada,Food,v41690915,1.2,89.2
1996/12,Canada,Food,v41690915,1.2,88.9
1997/01,Canada,Food,v41690915,1.2,88.9
1997/02,Canada,Food,v41690915,1.2,89.2
1997/03,Canada,Food,v41690915,1.2,89.2
1997/04,Canada,Food,v41690915,1.2,88.9
1997/05,Canada,Food,v41690915,1.2,89.1
1997/06,Canada,Food,v41690915,1.2,89.1
1997/07,Canada,Food,v41690915,1.2,89.6
1997/08,Canada,Food,v41690915,1.2,89.6
1997/09,Canada,Food,v41690915,1.2,89.6
1997/10,Canada,Food,v41690915,1.2,89.7
1997/11,Canada,Food,v41690915,1.2,90.0
1997/12,Canada,Food,v41690915,1.2,89.9
1998/01,Canada,Food,v41690915,1.2,91.0
1998/02,Canada,Food,v41690915,1.2,90.4
1998/03,Canada,Food,v41690915,1.2,90.5
1998/04,Canada,Food,v41690915,1.2,90.4
1998/05,Canada,Food,v41690915,1.2,90.6
1998/06,Canada,Food,v41690915,1.2,91.0
1998/07,Canada,Food,v41690915,1.2,90.8
1998/08,Canada,Food,v41690915,1.2,90.8
1998/09,Canada,Food,v41690915,1.2,90.8
1998/10,Canada,Food,v41690915,1.2,91.0
1998/11,Canada,Food,v41690915,1.2,91.5
1998/12,Canada,Food,v41690915,1.2,91.3
1999/01,Canada,Food,v41690915,1.2,92.1
1999/02,Canada,Food,v41690915,1.2,91.8
1999/03,Canada,Food,v41690915,1.2,91.8
1999/04,Canada,Food,v41690915,1.2,92.0
1999/05,Canada,Food,v41690915,1.2,91.9
1999/06,Canada,Food,v41690915,1.2,92.0
1999/07,Canada,Food,v41690915,1.2,91.9
1999/08,Canada,Food,v41690915,1.2,91.8
1999/09,Canada,Food,v41690915,1.2,92.1
1999/10,Canada,Food,v41690915,1.2,92.4
1999/11,Canada,Food,v41690915,1.2,92.3
1999/12,Canada,Food,v41690915,1.2,92.3
2000/01,Canada,Food,v41690915,1.2,91.8
2000/02,Canada,Food,v41690915,1.2,91.8
2000/03,Canada,Food,v41690915,1.2,92.1
2000/04,Canada,Food,v41690915,1.2,92.3
2000/05,Canada,Food,v41690915,1.2,92.8
2000/06,Canada,Food,v41690915,1.2,93.1
2000/07,Canada,Food,v41690915,1.2,93.6
2000/08,Canada,Food,v41690915,1.2,94.1
2000/09,Canada,Food,v41690915,1.2,94.3
2000/10,Canada,Food,v41690915,1.2,94.3
2000/11,Canada,Food,v41690915,1.2,94.3
2000/12,Canada,Food,v41690915,1.2,95.3
2001/01,Canada,Food,v41690915,1.2,95.0
2001/02,Canada,Food,v41690915,1.2,95.9
2001/03,Canada,Food,v41690915,1.2,96.6
2001/04,Canada,Food,v41690915,1.2,96.9
2001/05,Canada,Food,v41690915,1.2,97.5
2001/06,Canada,Food,v41690915,1.2,97.5
2001/07,Canada,Food,v41690915,1.2,97.9
2001/08,Canada,Food,v41690915,1.2,98.0
2001/09,Canada,Food,v41690915,1.2,98.2
2001/10,Canada,Food,v41690915,1.2,98.4
2001/11,Canada,Food,v41690915,1.2,98.1
2001/12,Canada,Food,v41690915,1.2,98.7
2002/01,Canada,Food,v41690915,1.2,99.3
2002/02,Canada,Food,v41690915,1.2,100.1
2002/03,Canada,Food,v41690915,1.2,99.7
2002/04,Canada,Food,v41690915,1.2,100.2
2002/05,Canada,Food,v41690915,1.2,99.6
2002/06,Canada,Food,v41690915,1.2,99.7
2002/07,Canada,Food,v41690915,1.2,99.8
2002/08,Canada,Food,v41690915,1.2,100.1
2002/09,Canada,Food,v41690915,1.2,100.2
2002/10,Canada,Food,v41690915,1.2,99.9
2002/11,Canada,Food,v41690915,1.2,100.7
2002/12,Canada,Food,v41690915,1.2,100.7
2003/01,Canada,Food,v41690915,1.2,101.3
2003/02,Canada,Food,v41690915,1.2,101.4
2003/03,Canada,Food,v41690915,1.2,101.5
2003/04,Canada,Food,v41690915,1.2,101.3
2003/05,Canada,Food,v41690915,1.2,101.7
2003/06,Canada,Food,v41690915,1.2,101.7
2003/07,Canada,Food,v41690915,1.2,101.8
2003/08,Canada,Food,v41690915,1.2,101.7
2003/09,Canada,Food,v41690915,1.2,101.9
2003/10,Canada,Food,v41690915,1.2,101.9
2003/11,Canada,Food,v41690915,1.2,102.1
2003/12,Canada,Food,v41690915,1.2,102.5
2004/01,Canada,Food,v41690915,1.2,102.4
2004/02,Canada,Food,v41690915,1.2,102.6
2004/03,Canada,Food,v41690915,1.2,102.5
2004/04,Canada,Food,v41690915,1.2,102.2
2004/05,Canada,Food,v41690915,1.2,103.0
2004/06,Canada,Food,v41690915,1.2,103.7
2004/07,Canada,Food,v41690915,1.2,103.9
2004/08,Canada,Food,v41690915,1.2,104.3
2004/09,Canada,Food,v41690915,1.2,104.7
2004/10,Canada,Food,v41690915,1.2,105.3
2004/11,Canada,Food,v41690915,1.2,105.6
2004/12,Canada,Food,v41690915,1.2,105.6
2005/01,Canada,Food,v41690915,1.2,105.1
2005/02,Canada,Food,v41690915,1.2,104.9
2005/03,Canada,Food,v41690915,1.2,105.4
2005/04,Canada,Food,v41690915,1.2,106.5
2005/05,Canada,Food,v41690915,1.2,106.4
2005/06,Canada,Food,v41690915,1.2,106.5
2005/07,Canada,Food,v41690915,1.2,106.5
2005/08,Canada,Food,v41690915,1.2,106.9
2005/09,Canada,Food,v41690915,1.2,106.8
2005/10,Canada,Food,v41690915,1.2,107.2
2005/11,Canada,Food,v41690915,1.2,107.1
2005/12,Canada,Food,v41690915,1.2,107.4
2006/01,Canada,Food,v41690915,1.2,107.9
2006/02,Canada,Food,v41690915,1.2,107.9
2006/03,Canada,Food,v41690915,1.2,108.1
2006/04,Canada,Food,v41690915,1.2,108.1
2006/05,Canada,Food,v41690915,1.2,108.3
2006/06,Canada,Food,v41690915,1.2,108.6
2006/07,Canada,Food,v41690915,1.2,108.8
2006/08,Canada,Food,v41690915,1.2,109.3
2006/09,Canada,Food,v41690915,1.2,109.7
2006/10,Canada,Food,v41690915,1.2,110.2
2006/11,Canada,Food,v41690915,1.2,110.4
2006/12,Canada,Food,v41690915,1.2,109.9
2007/01,Canada,Food,v41690915,1.2,110.6
2007/02,Canada,Food,v41690915,1.2,112.3
2007/03,Canada,Food,v41690915,1.2,112.0
2007/04,Canada,Food,v41690915,1.2,112.1
2007/05,Canada,Food,v41690915,1.2,112.1
2007/06,Canada,Food,v41690915,1.2,111.9
2007/07,Canada,Food,v41690915,1.2,111.9
2007/08,Canada,Food,v41690915,1.2,111.9
2007/09,Canada,Food,v41690915,1.2,111.8
2007/10,Canada,Food,v41690915,1.2,111.7
2007/11,Canada,Food,v41690915,1.2,111.7
2007/12,Canada,Food,v41690915,1.2,111.8
2008/01,Canada,Food,v41690915,1.2,112.1
2008/02,Canada,Food,v41690915,1.2,112.5
2008/03,Canada,Food,v41690915,1.2,112.8
2008/04,Canada,Food,v41690915,1.2,113.1
2008/05,Canada,Food,v41690915,1.2,114.3
2008/06,Canada,Food,v41690915,1.2,115.2
2008/07,Canada,Food,v41690915,1.2,116.0
2008/08,Canada,Food,v41690915,1.2,116.8
2008/09,Canada,Food,v41690915,1.2,118.0
2008/10,Canada,Food,v41690915,1.2,118.5
2008/11,Canada,Food,v41690915,1.2,119.7
2008/12,Canada,Food,v41690915,1.2,119.9
2009/01,Canada,Food,v41690915,1.2,120.4
2009/02,Canada,Food,v41690915,1.2,121.0
2009/03,Canada,Food,v41690915,1.2,121.4
2009/04,Canada,Food,v41690915,1.2,121.5
2009/05,Canada,Food,v41690915,1.2,121.5
2009/06,Canada,Food,v41690915,1.2,121.6
2009/07,Canada,Food,v41690915,1.2,121.6
2009/08,Canada,Food,v41690915,1.2,121.4
2009/09,Canada,Food,v41690915,1.2,121.2
2009/10,Canada,Food,v41690915,1.2,121.3
2009/11,Canada,Food,v41690915,1.2,121.8
2009/12,Canada,Food,v41690915,1.2,122.1
2010/01,Canada,Food,v41690915,1.2,122.2
2010/02,Canada,Food,v41690915,1.2,122.4
2010/03,Canada,Food,v41690915,1.2,122.9
2010/04,Canada,Food,v41690915,1.2,122.7
2010/05,Canada,Food,v41690915,1.2,122.5
2010/06,Canada,Food,v41690915,1.2,122.5
2010/07,Canada,Food,v41690915,1.2,123.0
2010/08,Canada,Food,v41690915,1.2,123.3
2010/09,Canada,Food,v41690915,1.2,123.7
2010/10,Canada,Food,v41690915,1.2,123.8
2010/11,Canada,Food,v41690915,1.2,123.4
2010/12,Canada,Food,v41690915,1.2,124.2
2011/01,Canada,Food,v41690915,1.2,124.6
2011/02,Canada,Food,v41690915,1.2,124.7
2011/03,Canada,Food,v41690915,1.2,126.8
2011/04,Canada,Food,v41690915,1.2,127.0
2011/05,Canada,Food,v41690915,1.2,127.5
2011/06,Canada,Food,v41690915,1.2,128.0
2011/07,Canada,Food,v41690915,1.2,128.4
